ticker,exchange,side,share,avePrice,time
144,SEHK,BOT,2000.0,15.26,20190124  10:20:17
2778,SEHK,BOT,2000.0,5.72,20190124  11:05:13
6030,SEHK,BOT,5000.0,15.48,20190124  11:20:31
6030,SEHK,BOT,1000.0,15.52,20190124  11:23:24
5,SEHK,BOT,2000.0,65.15,20190124  11:25:06
5,SEHK,BOT,6000.0,65.15,20190124  11:25:07
6030,SEHK,BOT,1000.0,15.52,20190124  11:27:10
388,SEHK,BOT,1000.0,240.6,20190124  11:27:10
778,SEHK,BOT,1000.0,9.74,20190124  11:27:11
6030,SEHK,BOT,1000.0,15.5,20190124  11:29:20
388,SEHK,BOT,1000.0,240.6,20190124  11:29:20
778,SEHK,BOT,1000.0,9.74,20190124  11:29:21
5,SEHK,BOT,2000.0,65.15,20190124  11:30:56
5,SEHK,BOT,2000.0,65.15,20190124  11:31:09
5,SEHK,BOT,2000.0,65.2,20190124  11:32:04
6030,SEHK,BOT,2000.0,15.5,20190124  11:32:05
388,SEHK,BOT,1400.0,240.6,20190124  11:32:05
778,SEHK,BOT,2000.0,9.74,20190124  11:32:05
388,SEHK,BOT,100.0,240.613333,20190124  11:32:11
388,SEHK,BOT,500.0,240.66,20190124  11:32:11
5,SEHK,BOT,2000.0,65.15,20190124  11:33:09
6030,SEHK,BOT,2000.0,15.5,20190124  11:33:10
388,SEHK,BOT,1300.0,240.6,20190124  11:33:10
778,SEHK,BOT,2000.0,9.74,20190124  11:33:10
5,SEHK,BOT,2000.0,65.2,20190124  11:40:11
6030,SEHK,BOT,2000.0,15.52,20190124  11:40:12
388,SEHK,BOT,1200.0,240.6,20190124  11:40:12
778,SEHK,BOT,2000.0,9.74,20190124  11:40:12
388,SEHK,BOT,800.0,240.68,20190124  11:40:13
